state,state_name,diabetes,collegeGrads,physicalActivity,notInLaborForce,workInManagementBizScienceArts,workAtHome
AL,Alabama,12.9,20.4,72.4,42.4,32.9,2.9
AK,Alaska,7.4,24.1,80.8,30.9,35.8,3.9
AZ,Arizona,10.1,23.9,78.8,41,35.1,5.7
AR,Arkansas,12.8,18.2,69.4,41.8,32.4,3.3
CA,California,10.3,27.3,78.3,37,37.6,5.4
CO,Colorado,7.3,33.4,83.6,32.2,40.3,6.5
CT,Connecticut,9.2,32.9,79.4,32.9,42.5,4.6
DE,Delaware,11.1,26.1,75.1,37.1,38.8,4.4
DC,DC,8.4,49.1,79.2,31.3,60,5
FL,Floria,11.2,24.1,76.3,41.5,34.2,5.4
GA,Georgia,11.6,24.7,76.4,37.8,36.1,5
HI,Hawaii,9.8,27.3,80.4,36.4,34.2,4.5
ID,Idaho,7.6,22.4,81.3,38.3,33.4,6.2
IL,Illinois,10.1,28.4,76.1,34.6,37.1,4.4
IN,Indiana,10.7,20.8,73.9,36,32.9,3.4
IA,Iowa,9.5,23.4,77.4,32.3,35.1,4.8
KS,Kansas,10.3,27,76.2,34.3,36.9,4
KY,Kentucky,12.5,19.3,71.8,40.8,32.9,3.2
LA,Louisiana,11.3,19.8,70.5,40.1,32.3,2.6
ME,Maine,9.5,25.6,80.3,37,35.8,5.4
MD,Maryland,10.1,33.3,78.6,32.1,44.7,4.1
MA,Massachusetts,9.7,35.5,79.9,32.6,44.7,4.8
MI,Michigan,10.4,23.4,74.5,39,35.2,3.7
MN,Minnesota,8.1,29.6,79.8,30.3,40.4,5.1
MS,Mississippi,13,18.1,68.4,42.5,31.1,2.3
MO,Missouri,11.1,23.8,75,37.4,36,4.4
MT,Montana,8.8,26.2,80.4,36.5,36.1,7.1
NE,Nebraska,9.2,25.8,78.7,29.8,36,4
NV,Nevada,9.6,19.9,77.5,36.5,27.6,3.2
NH,New Hampshire,9.2,31,80.7,32,39.4,6
NJ,New Jersey,9.7,32.5,76.7,34,41.2,4.2
NM,New Mexico,11.5,22.8,76.7,41.2,35.2,4.8
NY,New York,10,30.4,74.1,36.9,39.6,3.9
NC,North Carolina,10.8,24.3,76.8,38,36.1,4.7
ND,North Dakota,8.6,25,78.7,30.9,35.9,5.3
OH,Ohio,11.7,22.8,75.1,36.7,35.6,3.6
OK,Oklahoma,12,21,71.7,38.9,34.1,3.6
OR,Oregon,9,26.8,83.5,38.5,37.1,6.4
PA,Pennsylvania,11.2,25.1,76.7,37.5,36.9,4.1
RI,Rhode Island,9.5,27.9,77.5,35.1,36.3,3.8
SC,South Carolina,12,22.5,74.7,39.7,33,3.4
SD,South Dakota,9.1,23.8,78.8,30.5,36.4,5.5
TN,Tennessee,13,21.5,73.2,39.4,33.3,3.7
TX,Texas,11,23.5,72.4,35.6,35.3,4
UT,Utah,7.1,25.8,83.2,32.5,36.9,5.5
VT,Vermont,7.9,31.5,81,33.8,40.2,7.1
VA,Virginia,9.7,31.7,76.5,34.4,42.9,4.4
WA,Washington,8.9,28.7,81.9,36.2,39.4,5.5
WV,West Virginia,14.1,16.6,71.3,46.8,31.8,2.5
WI,Wisconsin,9,24.3,78.8,33.1,35,4.1
WY,Wyoming,8.4,22.8,77.9,32,32.7,4.8
PR,Puerto Rico,15.7,29.4,59.4,55.5,31.3,1.9
